year,name,count,is_overseas,category
2025,早稲田大学,97,,
2025,明治大学,84,,
2025,東京理科大学,82,,
2025,慶應義塾大学,76,,
2025,中央大学,50,,
2025,上智大学,37,,
2025,法政大学,36,,
2025,立教大学,33,,
2025,日本大学,30,,
2025,青山学院大学,23,,
2025,東京大学,22,,
2025,芝浦工業大学,17,,
2025,学習院大学,12,,
2025,一橋大学,11,,
2025,明治学院大学,11,,
2025,工学院大学,10,,
2025,横浜国立大学,10,,
2025,東洋大学,9,,
2025,東京農業大学,8,,
2025,東京都市大学,8,,
2025,昭和女子大学,7,,
2025,順天堂大学,7,,
2025,東京科学大学,6,,
2025,東邦大学（医学部）,6,,
2025,立命館大学,6,,
2025,京都大学,5,,
2025,北里大学,5,,
2025,北里大学（医学部）,5,,
2025,国際医療福祉大学（医学部）,5,,
2025,国際基督教大学,5,,
2025,成蹊大学,5,,
2025,昭和大学（医学部）,5,,
2025,東京学芸大学,5,,
2025,東海大学（医学部）,5,,
2025,武蔵野美術大学,5,,
2025,筑波大学,5,,
2025,駒澤大学,5,,
2025,東京女子大学,4,,
2025,東京薬科大学,4,,
2025,津田塾大学,4,,
2025,お茶の水女子大学,3,,
2025,共立女子大学,3,,
2025,北海道大学,3,,
2025,千葉大学,3,,
2025,國學院大学,3,,
2025,多摩美術大学,3,,
2025,専修大学,3,,
2025,杏林大学（医学部）,3,,
2025,東京医科大学（医学部）,3,,
2025,東京慈恵会医科大学（医学部）,3,,
2025,東京農工大学,3,,
2025,東北大学,3,,
2025,獨協医科大学（医学部）,3,,
2025,産業医科大学（医学部）,3,,
2025,神奈川大学,3,,
2025,近畿大学,3,,
2025,同志社大学,2,,
2025,大阪大学,2,,
2025,島根大学（医学部）,2,,
2025,成城大学,2,,
2025,日本医科大学（医学部）,2,,
2025,東京外国語大学,2,,
2025,東京海洋大学,2,,
2025,東京科学大学（医学部）,2,,
2025,東京都立大学,2,,
2025,東海大学,2,,
2025,横浜市立大学,2,,
2025,横浜薬科大学,2,,
2025,獨協大学,2,,
2025,玉川大学,2,,
2025,琉球大学（医学部）,2,,
2025,目白大学,2,,
2025,藤田医科大学（医学部）,2,,
2025,防衛医科大学校,2,,
2025,順天堂大学（医学部）,2,,
2025,College of Wooster,1,1,
2025,Ohio Wesleyan University,1,1,
2025,久留米大学（医学部）,1,,
2025,九州大学,1,,
2025,京都芸術大学,1,,
2025,信州大学,1,,
2025,信州大学（医学部）,1,,
2025,千葉大学（医学部）,1,,
2025,千葉工業大学,1,,
2025,名古屋大学,1,,
2025,国士舘大学,1,,
2025,埼玉医科大学（医学部）,1,,
2025,大妻女子大学,1,,
2025,大阪公立大学,1,,
2025,大阪大学（医学部）,1,,
2025,女子栄養大学,1,,
2025,学習院女子大学,1,,
2025,宇都宮大学,1,,
2025,富山大学,1,,
2025,山形大学（医学部）,1,,
2025,山梨大学,1,,
2025,山梨大学（医学部）,1,,
2025,川崎医科大学（医学部）,1,,
2025,帝京大学,1,,
2025,帝京大学（医学部）,1,,
2025,帯広畜産大学,1,,
2025,延世大学社会科学大学,1,1,
2025,弘前大学（医学部）,1,,
2025,慶應義塾大学（医学部）,1,,
2025,成均館大学芸術大学,1,1,
2025,文京学院大学,1,,
2025,新潟大学（医学部）,1,,
2025,日本歯科大学,1,,
2025,日本獣医生命科学大学（医学部）,1,,
2025,旭川医科大学（医学部）,1,,
2025,明治薬科大学,1,,
2025,昭和大学,1,,
2025,杏林大学,1,,
2025,東京家政大学,1,,
2025,東北大学（医学部）,1,,
2025,東邦大学,1,,
2025,桜美林大学,1,,
2025,横浜市立大学（医学部）,1,,
2025,武蔵大学,1,,
2025,武蔵野大学,1,,
2025,浜松医科大学（医学部）,1,,
2025,滋賀医科大学（医学部）,1,,
2025,漢陽大学,1,1,
2025,産業能率大学,1,,
2025,神戸大学,1,,
2025,神戸女学院大学,1,,
2025,福井大学（医学部）,1,,
2025,福岡大学（医学部）,1,,
2025,福島県立医科大学（医学部）,1,,
2025,秋田大学,1,,
2025,秋田大学（医学部）,1,,
2025,群馬大学,1,,
2025,茨城大学,1,,
2025,関西大学,1,,
2025,電気通信大学,1,,
2025,高千穂大学,1,,
2025,高崎経済大学,1,,
