year,name,count,is_overseas,category
2025,早稲田大学,257,,
2025,慶應義塾大学,172,,
2025,東京大学,150,,
2025,東京理科大学,57,,
2025,上智大学,41,,
2025,明治大学,38,,
2025,日本医科大学（医学部）,24,,
2025,防衛医科大学校（医学部）,24,,
2025,千葉大学（医学部）,21,,
2025,一橋大学,18,,
2025,順天堂大学（医学部）,18,,
2025,慶應義塾大学（医学部）,17,,
2025,東京慈恵会医科大学（医学部）,17,,
2025,国際医療福祉大学（医学部）,14,,
2025,中央大学,13,,
2025,東京科学大学（医学部）,13,,
2025,京都大学,11,,
2025,東京科学大学,9,,
2025,北海道大学,8,,
2025,法政大学,8,,
2025,山梨大学（医学部）,7,,
2025,日本大学,7,,
2025,立教大学,6,,
2025,横浜国立大学,5,,
2025,東京医科大学（医学部）,4,,
2025,東北大学,4,,
2025,同志社大学,3,,
2025,富山大学（医学部）,3,,
2025,帝京大学（医学部）,3,,
2025,東洋大学,3,,
2025,気象大学校,3,,
2025,立命館大学,3,,
2025,群馬大学（医学部）,3,,
2025,青山学院大学,3,,
2025,信州大学（医学部）,2,,
2025,専修大学,2,,
2025,新潟大学（医学部）,2,,
2025,日本大学（医学部）,2,,
2025,昭和大学（医学部）,2,,
2025,東京都市大学,2,,
2025,東邦大学（医学部）,2,,
2025,武蔵野美術大学,2,,
2025,神奈川大学,2,,
2025,筑波大学,2,,
2025,芝浦工業大学,2,,
2025,駒澤大学,2,,
2025,ZEN大学,1,,
2025,デジタルハリウッド大学,1,,
2025,九州大学,1,,
2025,九州大学（医学部）,1,,
2025,京都外国語大学,1,,
2025,京都大学（医学部）,1,,
2025,京都市立芸術大学,1,,
2025,北里大学,1,,
2025,千葉大学,1,,
2025,千葉工業大学,1,,
2025,名古屋大学,1,,
2025,名古屋大学（医学部）,1,,
2025,埼玉大学,1,,
2025,大阪大学,1,,
2025,学習院大学,1,,
2025,山形大学（医学部）,1,,
2025,岩手医科大学（医学部）,1,,
2025,島根大学（医学部）,1,,
2025,明治学院大学,1,,
2025,東京学芸大学,1,,
2025,東京歯科大学,1,,
2025,東京薬科大学,1,,
2025,東京農工大学,1,,
2025,東北医科薬科大学（医学部）,1,,
2025,東北大学（医学部）,1,,
2025,武蔵大学,1,,
2025,Columbia,1,1,
2025,Cornell,1,1,
2025,Duke,1,1,
2025,Imperial College London,1,1,
2025,Iowa State,1,1,
2025,Johns Hopkins,1,1,
2025,McGill University,1,1,
2025,Northeastern University,1,1,
2025,Penn State,1,1,
2025,UC Davis,1,1,
2025,UC San Diego,1,1,
2025,UC Santa Barbara,1,1,
2025,University of British Columbia,1,1,
2025,University of Illinois Urbana-Champaign,1,1,
2025,University of Michigan,1,1,
2025,University of Pennsylvania,1,1,
2025,University of Pittsburgh,1,1,
2025,University of Southern California,1,1,
2025,University of Toronto,1,1,
2025,University of Wisconsin,1,1,
2025,滋賀医科大学（医学部）,1,,
2025,獨協医科大学（医学部）,1,,
2025,筑波大学（医学部）,1,,
2025,長崎大学（医学部）,1,,
2025,高崎経済大学,1,,
